title,sell_price,orig_price,rating,num_ratings
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.3,"70,644 Ratings & 6,287 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999","₹24,999",4.4,"3,24,434 Ratings & 30,833 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹13,990","₹21,990",4.4,"48,391 Ratings & 4,332 Reviews"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹8,999","₹16,999",4.2,"8,695 Ratings & 1,304 Reviews"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999","₹21,999",4.3,"1,34,377 Ratings & 12,397 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999","₹31,999",4.3,"1,34,377 Ratings & 12,397 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,"₹13,490","₹22,900",4.3,"70,644 Ratings & 6,287 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,"₹7,499","₹19,000",3.9,236 Ratings & 24 Reviews
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹9,499","₹14,999",4.5,"6,309 Ratings & 1,136 Reviews"
realme 100.3 cm (40 inch) Full HD LED Smart Android TV,"₹19,999","₹31,999",4.3,"2,34,351 Ratings & 26,627 Reviews"
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,499","₹14,999",4.2,"1,292 Ratings & 154 Reviews"
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,999","₹17,999",4.3,"2,34,351 Ratings & 26,627 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499","₹29,999",3.8,70 Ratings & 8 Reviews
BeethoSOL 109 cm (43 inch) Full HD LED Smart Android TV,"₹15,499","₹41,990",3.9,236 Ratings & 24 Reviews
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999","₹35,999",4.4,"3,24,434 Ratings & 30,833 Reviews"
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-Less Frame,"₹10,499","₹20,000",4.2,"7,462 Ratings & 817 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999","₹45,000",4.4,"24,376 Ratings & 3,817 Reviews"
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹11,999","₹21,999",4.3,"33,904 Ratings & 2,966 Reviews"
,,,,
,,,,
MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by boAt and Dolby Visi...,"₹27,270","₹39,000",4.3,"1,702 Ratings & 241 Reviews"
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹42,999","₹59,999",4.4,"13,497 Ratings & 1,411 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
realme 108 cm (43 inch) Full HD LED Smart Android TV,"₹22,999","₹35,999",4.3,"2,34,351 Ratings & 26,627 Reviews"
iFFALCON by TCL F53 79.97 cm (32 inch) HD Ready LED Smart Android TV with Android 11,"₹10,999","₹26,990",4.2,911 Ratings & 112 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
